01a 426 1
02a 253 1
03a 359 1
04a 432 1
05a 405 1
06a 324 1
07a 310 1
08a 326 1
09a 375 1
10a 286 1
11a 349 1
12a 429 1
13a 348 1
14a 412 1
15a 347 1
16a 434 1
17a 364 1
18a 420 1
19a 397 1
01b 609 2
02b 236 2
03b 433 2
04b 431 2
05b 426 2
06b 438 2
07b 312 2
08b 326 2
09b 447 2
10b 286 2
11b 382 2
12b 410 2
13b 377 2
14b 473 2
15b 326 2
16b 458 2
17b 367 2
18b 395 2
19b 556 2
01c 556 3
02c 392 3
03c 349 3
04c 522 3
05c 513 3
06c 507 3
07c 410 3
08c 350 3
09c 547 3
10c 403 3
11c 473 3
12c 488 3
13c 447 3
14c 472 3
15c 455 3
16c 637 3
17c 432 3
18c 508 3
19c 645 3
01d 600 4
02d 395 4
03d 357 4
04d 600 4
05d 513 4
06d 539 4
07d 456 4
08d 504 4
09d 548 4
10d 422 4
11d 497 4
12d 547 4
13d 514 4
14d 446 4
15d 468 4
16d 524 4
17d 469 4
18d 531 4
19d 625 4
